U_id,U_name,U_invest_requirements,U_places,U_fund_stage,U_industry,U_check size max,U_check size min,U_website,U_pic_link
77,OVC Ventures,"We invest in all sectors, move fast (two weeks), have a high preference for startups that can demonstrate initial...","UK, USA+25","Early revenue (Series A), Scaling (Series B), Idea (Pre-Seed)","Software, Fintech, Consumer",$2,$150k,https://www.openvc.app/fund/OVC%20Ventures,https://www.openvc.app/images/funds/recTPpyulE0uJpv8E.jpg
78,Jared Luegers,I invest in Midwest-based startups.,USA,"Idea (Pre-Seed), Prototype (Seed)","Software, Consumer, Fintech",$50k,$1k,https://www.openvc.app/fund/Jared%20Luegers,https://www.openvc.app/images/funds/recc2vJkbogHtY97E.jpg
79,SpringTime Ventures,"We invest in fintech, insurtech, healthcare, logistics & supply chain in the USA only. Founders must be in the US and...",USA,"Prototype (Seed), Early revenue (Series A)","Fintech, Healthcare, Logistics",$700k,$500k,https://www.openvc.app/fund/SpringTime%20Ventures,https://www.openvc.app/images/funds/recZoZlkrEOGXLJY5.jpg
80,Airbridge Equity Partn...,We invest in companies where technology is at the heart of what they do and critical to the problems they solve for...,"Netherlands, Belgium+7","Scaling (Series B), Early revenue (Series A)","Software, AI, Infrastructure",$5M,$1M,https://www.openvc.app/fund/Airbridge%20Equity%20Partners,https://www.openvc.app/images/funds/recZ7oySbJssLClNi.jpg
81,Curiosity VC,"We invest in B2B software with a focus on applications of AI in Fintech, Proptech, Legaltech, Enterprise Software,...","Belgium, Denmark+8","Early revenue (Series A), Scaling (Series B)","AI, Fintech, Legal Tech, Real Estate, Software",$1M,$500k,https://www.openvc.app/fund/Curiosity%20VC,https://www.openvc.app/images/funds/rec3gd1aG2ZZHO8iI.jpg
82,Orange Ventures,We invest in European and North American series B/C startups. We also support Seed and Series A impact investing...,"Cameroon, Central African Republic+42","Early revenue (Series A), Scaling (Series B), Idea (Pre-Seed)","Software, AI, Fintech",$20M,$500k,https://www.openvc.app/fund/Orange%20Ventures,https://www.openvc.app/images/funds/recpFa2HqFSlIZ4Mc.jpg
83,Abac Nest Ventures,We invest in outlier entrepreneurs building B2S SaaS solutions to transform the SME industry across Southern...,Spain,"Idea (Pre-Seed), Prototype (Seed)","Software, AI, DevTools",$500k,$150k,https://www.openvc.app/fund/Abac%20Nest%20Ventures,https://www.openvc.app/images/funds/rec2Q9z60OgvA883Y.jpg
84,Framework Venture Part...,"We invest in Series A and B startups in Fintech, Insurtech, Vertical SaaS, and AI-powered platforms with B2B models and...","Canada, USA","Early revenue (Series A), Scaling (Series B)","AI, Fintech, Software",$10M,$500k,https://www.openvc.app/fund/Framework%20Venture%20Partners,https://www.openvc.app/images/funds/recv435trqajHUmAD.jpg
85,Turenne Santé,"We invest in Medtech, e-health, Software, service, CDMO/CRO innovationm, health. Early revenue/growth, non...","France, Switzerland+4","Early revenue (Series A), Scaling (Series B), Idea (Pre-Seed)","Education, Healthcare, Software",$3M,$1M,https://www.openvc.app/fund/Turenne%20Sant%C3%A9,https://www.openvc.app/images/funds/recjglKYu9C3C0W3c.jpg
86,Ascentro Capital Partn...,"We invest in AI, Fintech, Cybersecurity, Health, Hardware, Ecommerce, Marketplaces, Education, Enterprise, Childcare,...","New Zealand, USA+1","Scaling (Series B), Growth (Series C/D)","AI, Cybersecurity, E-commerce, Education, Fintech, Hardware",$100M,$5M,https://www.openvc.app/fund/Ascentro%20Capital%20Partners,https://www.openvc.app/images/funds/rec2FUcTVMjO6h7MI.jpg
87,NextUnicorn.Fund,"We invest in AI & tech enabled StartUp's & industry agnostic. We are a high-conviction, tech-enabled Pre-seed /...","USA, India","Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)","AI, Software, DevTools",$500k,$25k,https://www.openvc.app/fund/NextUnicorn.Fund,https://www.openvc.app/images/funds/rect9BIF8LR5UoYMJ.jpg
88,UCEA Capital Partners,"We invest in sports, real estate, technology, renewable energy and healthcare","USA, UK+4","Early revenue (Series A), Scaling (Series B), Idea (Pre-Seed)","Energy, Healthcare, Real Estate",$1M,$100k,https://www.openvc.app/fund/UCEA%20Capital%20Partners,https://www.openvc.app/images/funds/reckaDDrRm6LuzGKh.jpg
89,MediaTech Hub Accelera...,We invest in Media Tech,Germany,"Idea (Pre-Seed), Prototype (Seed)","Media, AI, Software",,,https://www.openvc.app/fund/MediaTech%20Hub%20Accelerator,https://www.openvc.app/images/funds/reccDx4WUPPneO2hJ.jpg
90,GoingVC Partners,"We invest into companies in various stages, with the most compelling investments in early stages. Ideation drives...",USA,"Prototype (Seed), Early revenue (Series A), Idea (Pre-Seed)","Software, Fintech, Consumer",$200k,$50k,https://www.openvc.app/fund/GoingVC%20Partners,https://www.openvc.app/images/funds/recAHHfsVtBn6xjxY.jpg
91,Carbono3 Ventures,We invest in Latin American Sustainability Tech startups. We prefer to lead pre-seed...,"Dominican Republic, Colombia+13","Prototype (Seed), Early revenue (Series A)","Climate, Energy, Software",$250k,$100k,https://www.openvc.app/fund/Carbono3%20Ventures,https://www.openvc.app/images/funds/recoHlMoLHzAWvMmx.jpg
92,gAI Ventures,We incubate vertical AI products with domain experts in financial services and insurance (FSI)...,"USA, India","Idea (Pre-Seed), Prototype (Seed)","AI, Software, DevTools",$100k,$100k,https://www.openvc.app/fund/gAI%20Ventures,https://www.openvc.app/images/funds/recPYbjMSLZ9j1qwP.jpg
93,Bitdefender Voyager Ve...,"We invest in - Cybersecurity, Data Analytics, Automation, Digital Infrastructure, Quantum Tech - Pre-Seed, Seed and...","Austria, Belgium+36","Prototype (Seed), Early revenue (Series A), Idea (Pre-Seed)","Analytics, Cybersecurity, Hardware, Infrastructure",$1M,$200k,https://www.openvc.app/fund/Bitdefender%20Voyager%20Ventures,https://www.openvc.app/images/funds/recZkGg1P72fpYam5.jpg
94,Skilltor Tech Venture ...,"We invest in Web3, AI, Digital Trust, Infrastructure Software, Saas, Marketplace and Gaming startups with in a MVP...","Zimbabwe, Afghanistan+16","Idea (Pre-Seed), Prototype (Seed), Scaling (Series B)","AI, Blockchain, E-commerce, Gaming, Infrastructure, Software",$1M,$500k,https://www.openvc.app/fund/Skilltor%20Tech%20Venture%20Studio,https://www.openvc.app/images/funds/recrJ9bxGwah1RCla.jpg
95,DCA Asset Management,We invest in companies that are in market showing promising early growth and scale. Industry...,"Canada, USA+1","Early revenue (Series A), Scaling (Series B)","Software, Fintech, Consumer",$2M,$25k,https://www.openvc.app/fund/DCA%20Asset%20Management,https://www.openvc.app/images/funds/recNLrOaL6CGZh38K.jpg
96,Clint Capital,"We invest in all business sectors (Fintech, SaaS, marketplace, greentech, healthtech, agritech, etc), but only in...",France,"Idea (Pre-Seed), Early revenue (Series A)","Agriculture, Climate, E-commerce, Fintech, Healthcare, Software",$500k,$300k,https://www.openvc.app/fund/Clint%20Capital,https://www.openvc.app/images/funds/recyqBT4wDVcVVJC2.jpg
97,Continental CVC,"We invest in global Series A and B. Minority investments within deeptech, mobility, sustainability, materials and...","Germany, USA+9","Early revenue (Series A), Scaling (Series B), Idea (Pre-Seed)","Climate, Hardware",$10M,$500k,https://www.openvc.app/fund/Continental%20CVC,https://www.openvc.app/images/funds/rec2XGUcHDybZABAT.jpg
98,Rogue Womens Fund,"We invest in early seed-stage women-led B2B SaaS, Enterprise, and B2B2C tech firms in the US. The typical target...",USA,"Early revenue (Series A), Scaling (Series B)","Consumer, Software",$500k,$300k,https://www.openvc.app/fund/Rogue%20Womens%20Fund,https://www.openvc.app/images/funds/recdREUP6mQqHRck9.jpg
99,Singtel Innov8,"We invest in 5G Enterprise & Applications, Data Privacy & Security, New Emerging...","Singapore, Australia+3","Idea (Pre-Seed), Early revenue (Series A), Scaling (Series B)","Cybersecurity, AI, Software",$5M,$1M,https://www.openvc.app/fund/Singtel%20Innov8,https://www.openvc.app/images/funds/recC8lr96CV1A7h2P.jpg
100,Schooner Capital,"We invest in all industries, backing exceptional teams wherever we find them.","Canada, Australia+6","Prototype (Seed), Early revenue (Series A)","Software, Fintech, Consumer",$10M,$3M,https://www.openvc.app/fund/Schooner%20Capital,https://www.openvc.app/images/funds/reckTZUe4mqBXDaiz.jpg
101,AIP Seed VC,We invest in founders of all origins who wants to build something amazing from Poland or are polish diaspora. We are...,Poland,"Idea (Pre-Seed), Prototype (Seed)","Software, AI, Consumer",$400k,$50k,https://www.openvc.app/fund/AIP%20Seed%20VC,https://www.openvc.app/images/funds/recR2OxZK87Wr08S2.jpg
102,Blast.Club,"We invest in French and European entrepreneurs (generalist thesis, marketplaces, fintech, insurtech, IoT, web3, SaaS,...","Andorra, Belgium+6","Idea (Pre-Seed), Early revenue (Series A), Scaling (Series B)","Blockchain, E-commerce, Fintech, Hardware, Software",$5M,$500k,https://www.openvc.app/fund/Blast.Club,https://www.openvc.app/images/funds/recMR8XnZOqRK0Zcu.jpg
103,Brighteye Ventures,We invest in companies that use technology to help people learn & grow. #EdTech #Education #Training #Reskilling...,"USA, Andorra+36","Early revenue (Series A), Scaling (Series B)","Education, AI, Software",$4M,$600k,https://www.openvc.app/fund/Brighteye%20Ventures,https://www.openvc.app/images/funds/recuaP7nzOcLMG4qX.jpg
104,Pipeline Capital,"We invest across fintech, IoT, SaaS, eCommerce, and other technologies and prefer companies that have already seen...",Australia,"Prototype (Seed), Early revenue (Series A), Scaling (Series B)","E-commerce, Fintech, Hardware, Software",$1M,$100k,https://www.openvc.app/fund/Pipeline%20Capital%20,https://www.openvc.app/images/funds/recB23vNaPuXbbadY.jpg
105,The Techshop SGR,We invest in Italian B2B Tech companies with a first market validation seeking for a pre-seed/seed investment. We are...,Italy,"Prototype (Seed), Early revenue (Series A)","Software, AI, Fintech",$1M,$500k,https://www.openvc.app/fund/The%20Techshop%20SGR,https://www.openvc.app/images/funds/recf9H8yJhxCcWRxk.jpg
106,Haatch,We invest in UK-based B2B SaaS pre-seed or seed stage start-ups. Haatch is industry-agnostic with a portfolio across...,UK,"Idea (Pre-Seed), Prototype (Seed)","Software, AI, Fintech",$620k,$150k,https://www.openvc.app/fund/Haatch,https://www.openvc.app/images/funds/recTJ7TAoarqUxEbX.jpg
107,BH3 Growth Equity,"We invest in proptech, construction technology, sustainable building materials, modular construction, property...","USA, Canada","Prototype (Seed), Scaling (Series B), Growth (Series C/D)","Construction, Real Estate",$30M,$5M,https://www.openvc.app/fund/BH3%20Growth%20Equity,https://www.openvc.app/images/funds/receFC1tdaYtHgb7L.jpg
108,Adams Street Partners,"We invest in rapidly growing, category-leading venture and growth companies across multiple stages, targeting...",USA,"Growth (Series C/D), Pre-IPO (Series E+)","DevTools, Software, Infrastructure",$75M,$5M,https://www.openvc.app/fund/Adams%20Street%20Partners,https://www.openvc.app/images/funds/rec0BX9F7MybDVhhe.jpg
109,Wei Capital Management,"We invest in Deep tech, comparable public listed companies that have a market cap of beyond $100 Billion, elite startup...",USA,"Idea (Pre-Seed), Prototype (Seed), Scaling (Series B)","Hardware, AI, Software",$10M,$50k,https://www.openvc.app/fund/Wei%20Capital%20Management,https://www.openvc.app/images/funds/recT2mE1qWMmFcZcH.jpg
110,E12 Ventures,"We invest in Artificial Intelligence, Data Infrastructure, Industrial Internet, Robotics & Autonomy, Computer Vision...",USA,"Scaling (Series B), Growth (Series C/D)","AI, Hardware, Infrastructure",$5M,$2M,https://www.openvc.app/fund/E12%20Ventures,https://www.openvc.app/images/funds/reccVlyS7kxfpXISi.jpg
111,Senovo,"We invest in exceptional founders building global B2B SaaS category leaders from Europe. As a European first-mover,...","Germany, Austria+30","Early revenue (Series A), Scaling (Series B)","Software, AI, Fintech",$3.5M,$1M,https://www.openvc.app/fund/Senovo,https://www.openvc.app/images/funds/recaksqBrs7hlIbj2.jpg
112,Jan Winkler,"I invest in companies primarily SaaS, early stage to series-A with a focus on internet, technology, B2B and similar. EU...","Austria, Denmark+8","Idea (Pre-Seed), Prototype (Seed)","Software, AI, DevTools",$1M,$100k,https://www.openvc.app/fund/Jan%20Winkler,https://www.openvc.app/images/funds/recFwj6vjex7v0S27.jpg
113,George Rushmore,I invest in pre-seed businesses focused on disrupting Financial Services.,"USA, UK","Idea (Pre-Seed), Prototype (Seed)","Software, AI, Consumer",$25k,$5k,https://www.openvc.app/fund/George%20Rushmore,https://www.openvc.app/images/funds/recGYH6NYXfmxYG26.jpg
